API,Category,Description_URL
LoadLibraryA,Evasion,https://malapi.io/winapi/LoadLibraryA
LoadLibraryExA,Injection,https://malapi.io/winapi/LoadLibraryExA
LoadLibraryExA,Evasion,https://malapi.io/winapi/LoadLibraryExA
LoadResource,Evasion,https://malapi.io/winapi/LoadResource
LocalAlloc,Injection,https://malapi.io/winapi/LocalAlloc
LockResource,Evasion,https://malapi.io/winapi/LockResource
LockResource,Helper,https://malapi.io/winapi/LockResource
LookupAccountNameA,Enumeration,https://malapi.io/winapi/LookupAccountNameA
LookupPrivilegeValueA,Enumeration,https://malapi.io/winapi/LookupPrivilegeValueA
MapViewOfFile,Injection,https://malapi.io/winapi/MapViewOfFile
MapViewOfFile2,Injection,https://malapi.io/winapi/MapViewOfFile2
MapViewOfFile3,Injection,https://malapi.io/winapi/MapViewOfFile3
MapViewOfFileEx,Injection,https://malapi.io/winapi/MapViewOfFileEx
MapVirtualKeyA,Spying,https://malapi.io/winapi/MapVirtualKeyA
MapVirtualKeyExA,Spying,https://malapi.io/winapi/MapVirtualKeyExA
Module32First,Enumeration,https://malapi.io/winapi/Module32First
Module32Next,Enumeration,https://malapi.io/winapi/Module32Next
MoveFileA,Helper,https://malapi.io/winapi/MoveFileA
MoveFileExA,Helper,https://malapi.io/winapi/MoveFileExA
NetShareAdd,Helper,https://malapi.io/winapi/NetShareAdd
NetShareCheck,Enumeration,https://malapi.io/winapi/NetShareCheck
NetShareEnum,Enumeration,https://malapi.io/winapi/NetShareEnum
NetShareGetInfo,Enumeration,https://malapi.io/winapi/NetShareGetInfo
NetShareSetInfo,Helper,https://malapi.io/winapi/NetShareSetInfo 
NtAdjustPrivilegesToken,Injection,https://malapi.io/winapi/NtAdjustPrivilegesToken
NtAllocateVirtualMemory,Injection,https://malapi.io/winapi/NtAllocateVirtualMemory
NtClose,Helper,https://malapi.io/winapi/NtClose
NtContinue,Injection,https://malapi.io/winapi/NtContinue
NtCreateFile,Helper,https://malapi.io/winapi/NtCreateFile
NtCreateProcess,Injection,https://malapi.io/winapi/NtCreateProcess
NtCreateProcessEx,Injection,https://malapi.io/winapi/NtCreateProcessEx
NtCreateSection,Injection,https://malapi.io/winapi/NtCreateSection
NtCreateThread,Injection,https://malapi.io/winapi/NtCreateThread
NtCreateThreadEx,Injection,https://malapi.io/winapi/NtCreateThreadEx
NtCreateUserProcess,Injection,https://malapi.io/winapi/NtCreateUserProcess
NtDelayExecution,Evasion,https://malapi.io/winapi/NtDelayExecution
NtDeleteKey,Helper,https://malapi.io/winapi/NtDeleteKey
NtDeleteValueKey,Helper,https://malapi.io/winapi/NtDeleteValueKey
NtDuplicateObject,Injection,https://malapi.io/winapi/NtDuplicateObject
NtMakeTemporaryObject,Helper,https://malapi.io/winapi/NtMakeTemporaryObject
NtMapViewOfSection,Injection,https://malapi.io/winapi/NtMapViewOfSection
NtOpenProcess,Injection,https://malapi.io/winapi/NtOpenProcess
NtOpenThread,Injection,https://malapi.io/winapi/NtOpenThread
NtProtectVirtualMemory,Injection,https://malapi.io/winapi/NtProtectVirtualMemory
NtQueryDirectoryFile,Enumeration,https://malapi.io/winapi/NtQueryDirectoryFile
NtQueryInformationProcess,Enumeration,https://malapi.io/winapi/NtQueryInformationProcess
NtQueryInformationProcess,Anti-Debugging,https://malapi.io/winapi/NtQueryInformationProcess
NtQuerySystemEnvironmentValueEx,Enumeration,https://malapi.io/winapi/NtQuerySystemEnvironmentValueEx
NtQueryTimer,Helper,https://malapi.io/winapi/NtQueryTimer
NtQueueApcThread,Injection,https://malapi.io/winapi/NtQueueApcThread
NtQueueApcThreadEx,Injection,https://malapi.io/winapi/NtQueueApcThreadEx
NtQueueApcThreadEx2,Injection,https://malapi.io/winapi/NtQueueApcThreadEx2
NtReadVirtualMemory,Injection,https://malapi.io/winapi/NtReadVirtualMemory
NtReadVirtualMemoryEx,Injection,https://malapi.io/winapi/NtReadVirtualMemoryEx
NtResumeProcess,Injection,https://malapi.io/winapi/NtResumeProcess
NtResumeProcess,Helper,https://malapi.io/winapi/NtResumeProcess
NtResumeThread,Injection,https://malapi.io/winapi/NtResumeThread
NtSetContextThread,Helper,https://malapi.io/winapi/NtSetContextThread
NtSetInformationProcess,Helper,https://malapi.io/winapi/NtSetInformationProcess
